,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL
97,DUTTY DANCING,2024-06-22 21:00:00,,The Barrie,"107-109 Regent Street Chippendale, NSW 2008",20.0,30.0,,https://www.eventbrite.com.au/e/dutty-dancing-tickets-911174466357?aff=ebdssbdestsearch
98,JUST DANCEHALL UNDERGROUND,2024-06-22 21:00:00,360.0,KX Social Club,"24 Bayswater Road Potts Point, NSW 2011",22.49,27.78,,https://www.eventbrite.com.au/e/just-dancehall-underground-tickets-919980836447?aff=ebdssbdestsearch
99,"Bollywood Gen Z Party at Blackbird, Darling Harbour, Sydney",2024-06-22 22:00:00,300.0,Blackbird Cafe,"Wheat Road Balcony Level 1 Cockle Bay Wharf Darling Harbour Sydney, NSW 2000",27.19,52.25,Going fast,https://www.eventbrite.com.au/e/bollywood-gen-z-party-at-blackbird-darling-harbour-sydney-tickets-905810031187?aff=ebdssbdestsearch
100,Hyperpop Rave Sydney,2024-06-22 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",26.74,26.74,,https://www.eventbrite.com.au/e/hyperpop-rave-sydney-tickets-885952928057?aff=ebdssbdestsearch
101,"The Whiffenpoofs - Parliament House, Sydney",2024-06-24 10:45:00,105.0,"Jubilee Room, Parliament House","6 Macquarie Street Sydney, NSW 2000",65.0,65.0,Almost full,https://www.eventbrite.com.au/e/the-whiffenpoofs-parliament-house-sydney-tickets-905734304687?aff=ebdssbdestsearch
102,The White Tree Band Showcase Gig,2024-06-25 18:30:00,120.0,Low 302,"302 Crown Street Surry Hills, NSW 2010",0.0,0.0,,https://www.eventbrite.com.au/e/the-white-tree-band-showcase-gig-tickets-918582784837?aff=ebdssbdestsearch
103,DEADNERVE Unto Death Tour @ The Burdekin Hotel Sydney,2024-06-28 18:00:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",27.84,27.84,,https://www.eventbrite.com.au/e/deadnerve-unto-death-tour-the-burdekin-hotel-sydney-tickets-907389264717?aff=ebdssbdestsearch
104,Central Coast Acoustic Songwriter Sessions  at The Entrance Lake House,2024-06-28 19:00:00,,The Entrance Lake House,"27 The Entrance Road The Entrance, NSW 2261",25.0,25.0,,https://www.eventbrite.com.au/e/central-coast-acoustic-songwriter-sessions-at-the-entrance-lake-house-tickets-643537165987?aff=ebdssbdestsearch
105,"Zombeaches w/ Baby Mullet, Runnin' Hot & Laura Panic at Elton Chong's",2024-06-28 19:30:00,240.0,Elton Chong,"388 High Street Penrith, NSW 2750",17.72,17.72,,https://www.eventbrite.com/e/zombeaches-w-baby-mullet-runnin-hot-laura-panic-at-elton-chongs-tickets-894907310857?aff=ebdssbdestsearch
106,"[SYD] TITI Mini Show ft Inception, Alu, Tranzmatikk, Emi, DK, Ket & more...",2024-06-28 19:30:00,,Việt Phố Entertainment,"2 George Street Yagoona, NSW 2199",54.26,160.14,,https://www.eventbrite.com.au/e/syd-titi-mini-show-ft-inception-alu-tranzmatikk-emi-dk-ket-more-tickets-915838737317?aff=ebdssbdestsearch
107,50/50 Full Circle,2024-06-28 21:00:00,360.0,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",21.79,28.86,Going fast,https://www.eventbrite.com.au/e/5050-full-circle-tickets-848046298307?aff=ebdssbdestsearch
108,AREA 91 – 50 Shades of Brown,2024-06-28 21:00:00,360.0,ARQ Sydney,"16 Flinders Street Darlinghurst, NSW 2010",25.29,37.39,,https://www.eventbrite.com.au/e/area-91-50-shades-of-brown-tickets-906526353727?aff=ebdssbdestsearch
109,FerxxoCalipsis 2  Deluxe Edition,2024-06-28 21:00:00,360.0,22 Bayswater Rd,"22 Bayswater Road Potts Point, NSW 2011",22.49,33.08,,https://www.eventbrite.com.au/e/ferxxocalipsis-2-deluxe-edition-tickets-921483852007?aff=ebdssbdestsearch
110,NICKI NIGHT | FRI 28TH JUNE | PRIDE MONTH CLOSING PARTY,2024-06-28 21:00:00,,Oxford Street,"Sydney, NSW 2000",9.25,17.19,,https://www.eventbrite.com.au/e/nicki-night-fri-28th-june-pride-month-closing-party-tickets-902952243467?aff=ebdssbdestsearch
111,STEPPERS ft. Original Sin (UK),2024-06-28 21:00:00,480.0,231 Oxford St,"reet Darlinghurst, NSW 2010",22.49,43.66,,https://www.eventbrite.com.au/e/steppers-ft-original-sin-uk-tickets-918657187377?aff=ebdssbdestsearch
112,"Sandbox ft. HIJCKD, FOVOS (NZ) & TAZI (ADL)",2024-06-28 21:00:00,360.0,Home The Venue,"1-5 Wheat Road #101 Sydney, NSW 2000",28.5,70.61,,https://www.eventbrite.com/e/sandbox-ft-hijckd-fovos-nz-tazi-adl-tickets-918658210437?aff=ebdssbdestsearch
113,FRI 28 JUNE - WAO SUPERCLUB @ IVY,2024-06-28 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",22.0,60.5,,https://www.eventbrite.com.au/e/fri-28-june-wao-superclub-ivy-tickets-906019908937?aff=ebdssbdestsearch
114,Bollywood Prom Night,2024-06-28 22:00:00,,The Flynn,"2A Bligh Street Sydney, NSW 2000",22.49,54.26,,https://www.eventbrite.com.au/e/bollywood-prom-night-tickets-913089464167?aff=ebdssbdestsearch
115,Cloud 909 ~ Jex Opolis (Good Timin' / Dekmantel) B2B Lauren Hansom,2024-06-28 22:00:00,300.0,the six:twelve,"6-12 Harbour Street Sydney, NSW 2000",27.09,42.72,,https://www.eventbrite.com/e/cloud-909-jex-opolis-good-timin-dekmantel-b2b-lauren-hansom-tickets-916917624297?aff=ebdssbdestsearch
116,Pibe Cantina x Full Turreo | FRI 28 JUN | Kent St Hotel,2024-06-28 22:00:00,360.0,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0.0,12.68,,https://www.eventbrite.com.au/e/pibe-cantina-x-full-turreo-fri-28-jun-kent-st-hotel-tickets-884317265747?aff=ebdssbdestsearch
117,Sabrina Carpenter Party - Sydney,2024-06-28 22:00:00,,Tokio Hotel,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",15.03,24.2,,https://www.eventbrite.com.au/e/sabrina-carpenter-party-sydney-tickets-919268957197?aff=ebdssbdestsearch
118,Sabrina Carpenter Party Sydney,2024-06-28 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,26.74,,https://www.eventbrite.com.au/e/sabrina-carpenter-party-sydney-tickets-896799881587?aff=ebdssbdestsearch
119,SWIFTIE RODEO - Taylor Swift Night Sydney,2024-06-28 23:45:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/swiftie-rodeo-taylor-swift-night-sydney-tickets-893606409827?aff=ebdssbdestsearch
120,Yusuf Saleem World Tour 2024 - Sydney,2024-06-29 04:30:00,90.0,International Terminal 1,"Departure Plaza Mascot, NSW 2020",0.0,360.26,,https://www.eventbrite.com/e/yusuf-saleem-world-tour-2024-sydney-tickets-913306593607?aff=ebdssbdestsearch
121,Choir Singalong,2024-06-29 10:00:00,60.0,North Sydney Community Centre,"220 Miller Street North Sydney, NSW 2060",0.0,0.0,,https://www.eventbrite.com.au/e/choir-singalong-tickets-920554682837?aff=ebdssbdestsearch
122,Lake Macquarie Winds Concert Band,2024-06-29 14:00:00,120.0,"Rathmines Theatre, nawayiba","Stilling Street & Dorrington Road Intersection Rathmines, NSW 2283",0.0,0.0,,https://www.eventbrite.com.au/e/lake-macquarie-winds-concert-band-tickets-754324182937?aff=ebdssbdestsearch
123,Crush Reunion Part 2 Harbour Cruise - Boat Party - 29/6/24,2024-06-29 18:30:00,270.0,King Street Wharf 7,"Lime Street Sydney, NSW 2000",42.61,53.19,Going fast,https://www.eventbrite.com.au/e/crush-reunion-part-2-harbour-cruise-boat-party-29624-tickets-909574009347?aff=ebdssbdestsearch
124,THE GANG 2,2024-06-29 19:00:00,360.0,Viet Pho Restaurant and KTV,"313 Chapel Road Bankstown, NSW 2200",30.0,30.0,,https://www.eventbrite.com/e/the-gang-2-tickets-919304924777?aff=ebdssbdestsearch
125,AM//PM Emo Night // Sydney June 29,2024-06-29 20:00:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",17.5,25.0,,https://www.eventbrite.com.au/e/ampm-emo-night-sydney-june-29-tickets-913689669397?aff=ebdssbdestsearch
126,RNB SUPERCLUB @ THE ARGYLE!,2024-06-29 20:00:00,420.0,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,31.53,,https://www.eventbrite.com/e/rnb-superclub-the-argyle-tickets-914210557387?aff=ebdssbdestsearch
127,The Argyle Saturdays // FREE & Discounted Entry // SYDVIP,2024-06-29 20:00:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,11.9,,https://www.eventbrite.com.au/e/the-argyle-saturdays-free-discounted-entry-sydvip-tickets-918720566947?aff=ebdssbdestsearch
128,"Throw Back - 80s, 90s, Noughties - Boat Party",2024-06-29 20:00:00,240.0,King Street Wharf,"35 The Promenade Sydney, NSW 2000",22.32,43.2,,https://www.eventbrite.com.au/e/throw-back-80s-90s-noughties-boat-party-tickets-872281676977?aff=ebdssbdestsearch
129,Chammak Challo - Bollywood Night @ OAF,2024-06-29 21:00:00,360.0,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",27.78,53.19,,https://www.eventbrite.com.au/e/chammak-challo-bollywood-night-oaf-tickets-916854866587?aff=ebdssbdestsearch
130,LEVELS SYDNEY 2024,2024-06-29 21:00:00,,Chicane Sydney,"22 Bayswater Road Potts Point, NSW 2011",16.9,32.69,,https://www.eventbrite.com.au/e/levels-sydney-2024-tickets-818100369227?aff=ebdssbdestsearch
131,"Bollywood Saturday Night at Blackbird, Darling Harbour, Sydney",2024-06-29 22:00:00,,Blackbird Cafe,"Wheat Road Balcony Level 1 Cockle Bay Wharf Darling Harbour Sydney, NSW 2000",27.19,470.89,,https://www.eventbrite.com.au/e/bollywood-saturday-night-at-blackbird-darling-harbour-sydney-tickets-916803743677?aff=ebdssbdestsearch
132,Sims Rave Sydney,2024-06-29 23:45:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,21.59,,https://www.eventbrite.com.au/e/sims-rave-sydney-tickets-881173923927?aff=ebdssbdestsearch
133,"Opera in the Pub at The Union - ""Heroes and Villains""",2024-06-30 14:00:00,120.0,The Union Hotel,"271 Pacific Highway North Sydney, NSW 2060",48.96,48.96,,https://www.eventbrite.com.au/e/opera-in-the-pub-at-the-union-heroes-and-villains-tickets-914375992207?aff=ebdssbdestsearch
134,"Term 2, 2024 Live Lounge  - Newcastle",2024-06-30 17:30:00,180.0,Wests City,"309 King Street Newcastle West, NSW 2302",0.0,0.0,,https://www.eventbrite.com.au/e/term-2-2024-live-lounge-newcastle-tickets-873024217937?aff=ebdssbdestsearch
135,Australian International Music Festival - Chatswood Concourse Adjudication,2024-07-01 12:00:00,150.0,Chatswood Concourse,"409 Victoria Avenue Chatswood, NSW 2067",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/australian-international-music-festival-chatswood-concourse-adjudication-tickets-917670476097?aff=ebdssbdestsearch
136,"Opera in the Pub at The Harold - ""Heroes and Villains""",2024-07-02 19:30:00,120.0,The Harold,"70A Ross Street Forest Lodge, NSW 2037",48.96,48.96,,https://www.eventbrite.com.au/e/opera-in-the-pub-at-the-harold-heroes-and-villains-tickets-913698014357?aff=ebdssbdestsearch
137,Musicians' Meet-Up: July,2024-07-03 18:30:00,,"Studio 2166,  Level 1, Whitlam Library Cabramatta","165 Railway Parade Cabramatta, NSW 2166",,,,https://www.eventbrite.com.au/e/musicians-meet-up-july-tickets-891433721257?aff=ebdssbdestsearch
138,Annaliesa Rose & the Buds,2024-07-03 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",21.98,48.08,,https://www.eventbrite.com.au/e/annaliesa-rose-the-buds-tickets-921259982407?aff=ebdssbdestsearch
139,Chloe Gill Single Launch: Firework Night,2024-07-05 18:00:00,180.0,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",22.49,22.49,,https://www.eventbrite.com.au/e/chloe-gill-single-launch-firework-night-tickets-913672989507?aff=ebdssbdestsearch
140,5 ANIVERSARIO MAS FLOW SYDNEY,2024-07-05 21:30:00,450.0,ARQ Sydney,"16 Flinders Street Darlinghurst, NSW 2010",27.78,36.0,,https://www.eventbrite.com.au/e/5-aniversario-mas-flow-sydney-tickets-914114580317?aff=ebdssbdestsearch
141,FRI 5 JUL - WAO SUPERCLUB @ IVY,2024-07-05 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",22.0,60.5,,https://www.eventbrite.com.au/e/fri-5-jul-wao-superclub-ivy-tickets-920464934397?aff=ebdssbdestsearch
142,Aname Sydney,2024-07-05 22:00:00,,Civic Underground,"388 Pitt St Sydney, NSW 2000",38.2,45.34,,https://www.eventbrite.com.au/e/aname-sydney-tickets-907241924017?aff=ebdssbdestsearch
143,Pibe Cantina x Tributo a Tini | FRI 5 JUL | Kent St Hotel,2024-07-05 22:00:00,360.0,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0.0,12.68,,https://www.eventbrite.com.au/e/pibe-cantina-x-tributo-a-tini-fri-5-jul-kent-st-hotel-tickets-884317275777?aff=ebdssbdestsearch
144,Lana Del Rave Sydney,2024-07-05 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,21.59,,https://www.eventbrite.com.au/e/lana-del-rave-sydney-tickets-913706600037?aff=ebdssbdestsearch
145,MOOD DOK Sydney Dance Workshop 2024,2024-07-06 17:00:00,240.0,IMI DANCE / IMI ENT,"9 East Street Lidcombe, NSW 2141",53.19,117.79,,https://www.eventbrite.com.au/e/mood-dok-sydney-dance-workshop-2024-tickets-916500777497?aff=ebdssbdestsearch
146,KIRTAN JAM! A Free Event! 7pm,2024-07-06 19:00:00,,Hearts Landing | Heart Healing Arts,"2/217 West St Umina Beach, NSW 2257",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/kirtan-jam-a-free-event-7pm-tickets-485285220157?aff=ebdssbdestsearch
147,Lamphead EP tour,2024-07-06 19:00:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",22.67,22.67,,https://www.eventbrite.com.au/e/lamphead-ep-tour-tickets-915037922057?aff=ebdssbdestsearch
148,Mystopia presents: BURN WINTER,2024-07-06 20:00:00,420.0,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",39.24,80.78,,https://www.eventbrite.com.au/e/mystopia-presents-burn-winter-tickets-899989341347?aff=ebdssbdestsearch
149,BACK TO 2000'S VIBEZ,2024-07-06 21:00:00,,Schirrmo's Bar,"11 Rawson Place Haymarket, NSW 2000",22.49,22.49,Sales end soon,https://www.eventbrite.com.au/e/back-to-2000s-vibez-tickets-920884549477?aff=ebdssbdestsearch
150,"Bollywood Saturdays at Blackbird, Darling Harbour, Sydney",2024-07-06 22:00:00,,Blackbird Cafe,"Wheat Road Balcony Level 1 Cockle Bay Wharf Darling Harbour Sydney, NSW 2000",27.19,470.89,,https://www.eventbrite.com.au/e/bollywood-saturdays-at-blackbird-darling-harbour-sydney-tickets-916816632227?aff=ebdssbdestsearch
151,Music Evening,2024-07-07 18:00:00,120.0,15 Pine Ave,"nue Little Bay, NSW 2036",33.08,33.08,,https://www.eventbrite.com/e/music-evening-tickets-906001624247?aff=ebdssbdestsearch
152,Music Camp: A Creative Holiday Program Curated for Students aged 8-15,2024-07-09 09:00:00,,shop 1/17 Green St,"17 Green Street #shop 1 Maroubra, NSW 2035",128.37,446.03,,https://www.eventbrite.com.au/e/music-camp-a-creative-holiday-program-curated-for-students-aged-8-15-tickets-920423590737?aff=ebdssbdestsearch
153,Hey Diddle Diddle,2024-07-09 10:30:00,40.0,Life Congregational Church Hall,"Corner of Ferdinand and Alexandra Street Hunters Hill, NSW 2110",29.12,47.66,,https://www.eventbrite.com.au/e/hey-diddle-diddle-tickets-898822531387?aff=ebdssbdestsearch
154,Global Folk for Little Folk,2024-07-10 10:30:00,40.0,Tramsheds -Harold Park Community Hall,"Level 1 1 Dalgal Way Forest Lodge, NSW 2037",29.12,47.66,,https://www.eventbrite.com.au/e/global-folk-for-little-folk-tickets-916885187277?aff=ebdssbdestsearch
155,Sinister Rituals 02,2024-07-12 20:00:00,420.0,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",13.27,28.86,,https://www.eventbrite.com.au/e/sinister-rituals-02-tickets-887372413777?aff=ebdssbdestsearch
156,FRI 12 JUL - WAO SUPERCLUB @ IVY,2024-07-12 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",22.0,60.5,,https://www.eventbrite.com.au/e/fri-12-jul-wao-superclub-ivy-tickets-920465857157?aff=ebdssbdestsearch
157,SWAMPED,2024-07-13 19:00:00,298.0,Marrickville Bowling & Recreation Club,"91 Sydenham Road Marrickville, NSW 2204",27.78,27.78,,https://www.eventbrite.com.au/e/swamped-tickets-908630788147?aff=ebdssbdestsearch
158,The Oils Tribute,2024-07-13 20:00:00,180.0,Club Belrose,"146 Forest Way Belrose, NSW 2085",22.49,22.49,,https://www.eventbrite.com.au/e/the-oils-tribute-tickets-781677427227?aff=ebdssbdestsearch
159,Way Back When - A Night Of Classic Trance,2024-07-13 20:00:00,,Oxford Underground,"134 Oxford St Darlinghurst, NSW 2010",42.61,42.61,,https://www.eventbrite.com.au/e/way-back-when-a-night-of-classic-trance-tickets-899746254267?aff=ebdssbdestsearch
160,The Anna Weaving Collective,2024-07-13 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",34.51,95.06,,https://www.eventbrite.com.au/e/the-anna-weaving-collective-tickets-913447174087?aff=ebdssbdestsearch
161,Bark Division: 1st Birthday Ft Boxxy & Sillybitchesdie,2024-07-13 21:00:00,360.0,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",18.47,28.86,,https://www.eventbrite.com.au/e/bark-division-1st-birthday-ft-boxxy-sillybitchesdie-tickets-920537350997?aff=ebdssbdestsearch
162,So Fresh Party Sydney,2024-07-13 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,21.59,,https://www.eventbrite.com.au/e/so-fresh-party-sydney-tickets-913725927847?aff=ebdssbdestsearch
163,Gamers Rave Sydney,2024-07-13 23:45:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,26.74,,https://www.eventbrite.com.au/e/gamers-rave-sydney-tickets-857629160907?aff=ebdssbdestsearch
164,Live Music at Maestria,2024-07-14 19:00:00,180.0,Maestria Restaurant & Bar,"1 Homebush Bay Drive #Shop 1 Rhodes, NSW 2138",0.0,0.0,,https://www.eventbrite.com.au/e/live-music-at-maestria-tickets-914935776537?aff=ebdssbdestsearch
165,Cinematic Sounds - School Holiday Workshop,2024-07-16 09:00:00,360.0,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",128.37,128.37,,https://www.eventbrite.com.au/e/cinematic-sounds-school-holiday-workshop-tickets-918535112247?aff=ebdssbdestsearch
166,Electronic Music Performance Workshop - School Holiday Workshop,2024-07-17 09:00:00,360.0,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",86.02,86.02,,https://www.eventbrite.com.au/e/electronic-music-performance-workshop-school-holiday-workshop-tickets-918585954317?aff=ebdssbdestsearch
167,Percussion Workshop,2024-07-17 09:00:00,270.0,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",86.02,86.02,,https://www.eventbrite.com.au/e/percussion-workshop-tickets-918581511027?aff=ebdssbdestsearch
168,BLEND 2 | Composition Concert,2024-07-18 16:00:00,180.0,66 Harrington St,"reet The Rocks, NSW 2000",0.0,0.0,,https://www.eventbrite.com.au/e/blend-2-composition-concert-tickets-860637769737?aff=ebdssbdestsearch
169,"An Evening with Carlotta Centanni: Italian Classics, Jazz, and Bossa Nova",2024-07-19 19:30:00,120.0,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",43.66,107.19,,https://www.eventbrite.com.au/e/an-evening-with-carlotta-centanni-italian-classics-jazz-and-bossa-nova-tickets-905824975887?aff=ebdssbdestsearch
170,Hoshi Pre Party,2024-07-19 20:00:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",38.5,60.5,,https://www.eventbrite.com.au/e/hoshi-pre-party-tickets-888034855157?aff=ebdssbdestsearch
171,FRI 19 JUL - WAO SUPERCLUB @ IVY,2024-07-19 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",22.0,60.5,,https://www.eventbrite.com.au/e/fri-19-jul-wao-superclub-ivy-tickets-920469327537?aff=ebdssbdestsearch
172,Pibe Cantina x Dia del Amigo | FRI 19 JUL | Kent St Hotel,2024-07-19 22:00:00,360.0,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0.0,12.68,,https://www.eventbrite.com/e/pibe-cantina-x-dia-del-amigo-fri-19-jul-kent-st-hotel-tickets-884317325927?aff=ebdssbdestsearch
173,Care Bears Rave Sydney,2024-07-19 23:00:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,26.74,,https://www.eventbrite.com.au/e/care-bears-rave-sydney-tickets-901992723517?aff=ebdssbdestsearch
174,Winter Country Music Night - Emu Hall,2024-07-20 17:00:00,300.0,Emu Hall Bar & Kitchen,"2-26 Great Western Highway Emu Plains, NSW 2750",17.19,17.19,Almost full,https://www.eventbrite.com.au/e/winter-country-music-night-emu-hall-tickets-915059737307?aff=ebdssbdestsearch
175,FROSTBITTEN WEEKEND,2024-07-20 18:30:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",27.84,27.84,,https://www.eventbrite.com.au/e/frostbitten-weekend-tickets-900844398847?aff=ebdssbdestsearch
176,Karise Eden,2024-07-20 19:00:00,240.0,Bowral Bowling Club,"40 Shepherd Street Bowral, NSW 2576",43.66,551.91,,https://www.eventbrite.com.au/e/karise-eden-tickets-877678087787?aff=ebdssbdestsearch
177,Sensitive Instruments,2024-07-20 20:00:00,90.0,Local Edition,"279 Broadway On the corner of Broadway and Glebe Point Rd Glebe, NSW 2037",27.78,40.49,,https://www.eventbrite.com/e/sensitive-instruments-tickets-906630796117?aff=ebdssbdestsearch
178,Shenanigans,2024-07-20 20:00:00,420.0,The Lass O'Gowrie Hotel,"14 Railway Street Wickham, NSW 2293",15.0,27.78,,https://www.eventbrite.com.au/e/shenanigans-tickets-920464493077?aff=ebdssbdestsearch
179,My Chemical Romance Ball (Sydney),2024-07-20 21:00:00,300.0,The Imperial Erskineville,"35 Erskineville Road Erskineville, NSW 2043",18.26,27.78,,https://www.eventbrite.com.au/e/my-chemical-romance-ball-sydney-tickets-911181728077?aff=ebdssbdestsearch
180,Road to '24 AXIX Live in Sydney,2024-07-21 20:00:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",55.0,88.0,,https://www.eventbrite.com.au/e/road-to-24-axix-live-in-sydney-tickets-920548765137?aff=ebdssbdestsearch
181,Music in Me Summit 2024,2024-07-22 08:30:00,420.0,ACO Pier 2/3,"13A Hickson Road #Suite 3 Dawes Point, NSW 2000",43.33,159.22,,https://www.eventbrite.com.au/e/music-in-me-summit-2024-tickets-895788376147?aff=ebdssbdestsearch
182,Live Music Lake Mac & HIT Productions presents Buddy Knox Project,2024-07-24 18:30:00,210.0,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/live-music-lake-mac-hit-productions-presents-buddy-knox-project-tickets-755098940257?aff=ebdssbdestsearch
183,BEATS BINGO - RnB Fridays [MACQUARIE] at TGI Fridays,2024-07-25 18:30:00,120.0,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0.0,0.0,,https://www.eventbrite.com.au/e/beats-bingo-rnb-fridays-macquarie-at-tgi-fridays-tickets-911042270957?aff=ebdssbdestsearch
184,LES FEMMES - Dinner & Show at Cardea,2024-07-25 19:00:00,,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",33.08,128.37,,https://www.eventbrite.com.au/e/les-femmes-dinner-show-at-cardea-tickets-799156046247?aff=ebdssbdestsearch
185,"colourblind S/T Album Launch, Sydney",2024-07-26 19:30:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",20.0,20.0,,https://www.eventbrite.com.au/e/colourblind-st-album-launch-sydney-tickets-917142988367?aff=ebdssbdestsearch
186,FRI 26 JUL - WAO SUPERCLUB @ IVY,2024-07-26 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",22.0,60.5,,https://www.eventbrite.com.au/e/fri-26-jul-wao-superclub-ivy-tickets-920470952397?aff=ebdssbdestsearch
187,The Wacky Wonderland Tour,2024-07-27 03:00:00,900.0,"MoshPit, King Street, Erskineville NSW, Australia","642A King Street Erskineville, NSW 2043",19.0,25.0,,https://www.eventbrite.com/e/the-wacky-wonderland-tour-tickets-850287511837?aff=ebdssbdestsearch
188,Lucky Presents | Christmas In July | Sunset Boat Party,2024-07-27 15:30:00,,King Street Wharf 9,"Harbour Street Sydney, NSW 2000",29.0,39.0,,https://www.eventbrite.com.au/e/lucky-presents-christmas-in-july-sunset-boat-party-tickets-893685526467?aff=ebdssbdestsearch
189,Journey Of Sound pres. SUBANDRIO (SL) - SYDNEY,2024-07-27 21:00:00,,The Civic Hotel,"388 Pitt Street Sydney, NSW 2000",38.0,49.99,,https://www.eventbrite.com/e/journey-of-sound-pres-subandrio-sl-sydney-tickets-919047524887?aff=ebdssbdestsearch
190,The Honeymakers Big Band - In The Spotlight,2024-07-28 15:00:00,,Tradies Gymea,"57 Manchester Road Gymea, NSW 2227",15.0,15.0,,https://www.eventbrite.com.au/e/the-honeymakers-big-band-in-the-spotlight-tickets-921335538397?aff=ebdssbdestsearch
191,UNSW Wind Symphony Concert: Native Winds,2024-07-30 19:00:00,120.0,Sir John Clancy Auditorium,"9 High Street Kensington, NSW 2052",10.55,21.1,,https://www.eventbrite.com.au/e/unsw-wind-symphony-concert-native-winds-tickets-907262906777?aff=ebdssbdestsearch
192,Collegium Musicum Choir Concert: Lacrimosa,2024-08-02 19:00:00,120.0,Sir John Clancy Auditorium,"9 High Street Kensington, NSW 2052",19.53,28.0,,https://www.eventbrite.com.au/e/collegium-musicum-choir-concert-lacrimosa-tickets-911137676317?aff=ebdssbdestsearch
193,"[SYD] MEMORIES IX 02.08.2024 | HA TRAN, TRAN THAI HOA, LAN NHA, THUY DUNG",2024-08-02 19:30:00,,Cabra-Vale Diggers Club,"1 Bartley Street Canley Vale, NSW 2166",107.19,170.73,,https://www.eventbrite.com.au/e/syd-memories-ix-02082024-ha-tran-tran-thai-hoa-lan-nha-thuy-dung-tickets-921470983517?aff=ebdssbdestsearch
194,New Club Vibrations | Gangster Theme,2024-08-03 20:00:00,300.0,"Polish Club Ashfield, Liverpool Road, Ashfield NSW, Australia","182 Liverpool Road Ashfield, NSW 2131",27.07,229.57,,https://www.eventbrite.com.au/e/new-club-vibrations-gangster-theme-tickets-918595432667?aff=ebdssbdestsearch
195,Berlin Underground,2024-08-04 22:00:00,,Civic Underground,"388 Pitt St Sydney CBD, NSW 2000",0.0,22.19,,https://www.eventbrite.com.au/e/berlin-underground-tickets-368952776687?aff=ebdssbdestsearch
